locality,Year,house price
MONT ALBERT,2009,1073500.00 
MONT ALBERT NORTH,2009,792000.00 
MONTMORENCY,2009,474000.00 
MONTROSE,2009,385500.00 
MOONEE PONDS,2009,678500.00 
MOORABBIN,2009,588500.00 
MOOROOLBARK,2009,370000.00 
MOOROOPNA,2009,205000.00 
MORDIALLOC,2009,575000.00 
MORNINGTON,2009,427500.00 
MORTLAKE,2009,153000.00 
MORWELL,2009,140000.00 
MOUNT BEAUTY,2009,180000.00 
MOUNT CLEAR,2009,236000.00 
MOUNT DANDENONG,2009,450000.00 
MOUNT DUNEED,2009,505000.00 
MOUNT ELIZA,2009,625000.00 
MOUNT EVELYN,2009,340000.00 
MOUNT HELEN,2009,307500.00 
MOUNT MACEDON,2009,476500.00 
MOUNT MARTHA,2009,605000.00 
MOUNT PLEASANT,2009,211000.00 
MOUNT WAVERLEY,2009,691500.00 
MULGRAVE,2009,478500.00 
MURCHISON,2009,166500.00 
MURRUMBEENA,2009,755500.00 
MURTOA,2009,92500.00 
MYRTLEFORD,2009,190000.00 
NAGAMBIE,2009,210500.00 
NARRE WARREN,2009,321500.00 
NARRE WARREN NORTH,2009,645000.00 
NARRE WARREN SOUTH,2009,360500.00 
NATHALIA,2009,165000.00 
NATIMUK,2009,128500.00 
NEERIM SOUTH,2009,262500.00 
NELSON,2009,187000.00 
NERRINA,2009,300000.00 
NEW GISBORNE,2009,369000.00 
NEWBOROUGH,2009,173000.00 
NEWCOMB,2009,229000.00 
NEWINGTON,2009,253500.00 
NEWLANDS ARM,2009,280000.00 
NEWPORT,2009,560000.00 
NEWSTEAD,2009,197500.00 
NEWTOWN (GREATER GEELONG),2009,421000.00 
NHILL,2009,124000.00 
NICHOLS POINT,2009,310000.00 
NIDDRIE,2009,595000.00 
NOBLE PARK,2009,350000.00 
NOBLE PARK NORTH,2009,350000.00 
NOOJEE,2009,201500.00 
NORLANE,2009,160000.00 
NORTH BENDIGO,2009,206000.00 
NORTH GEELONG,2009,247000.00 
NORTH MELBOURNE,2009,605000.00 
NORTH WONTHAGGI,2009,265000.00 
NORTHCOTE,2009,669000.00 
NOTTING HILL,2009,485000.00 
NUMURKAH,2009,171500.00 
NUNAWADING,2009,511000.00 
NYAH WEST,2009,89000.00 
NYORA,2009,182500.00 
OAK PARK,2009,505000.00 
OAKLEIGH,2009,619000.00 
OAKLEIGH EAST,2009,553500.00 
OAKLEIGH SOUTH,2009,533500.00 
OCEAN GROVE,2009,385000.00 
OFFICER,2009,340000.00 
OFFICER SOUTH,2009,-
OLINDA,2009,378500.00 
ORBOST,2009,155000.00 
ORMOND,2009,808000.00 
OSBORNE,2009,425000.00 
OUYEN,2009,110000.00 
PAKENHAM,2009,305000.00 
PARADISE BEACH,2009,170000.00 
PARK ORCHARDS,2009,814000.00 
PARKDALE,2009,625000.00 
PARKVILLE,2009,1300000.00 
PASCOE VALE,2009,508000.00 
PASCOE VALE SOUTH,2009,551000.00 
PATTERSON GARDENS,2009,523000.00 
PATTERSON LAKES,2009,526000.00 
PAYNESVILLE,2009,275000.00 
PEARCEDALE,2009,328000.00 
PENSHURST,2009,142500.00 
PETERBOROUGH,2009,267500.00 
PIONEER BAY,2009,184500.00 
PLENTY,2009,715000.00 
POINT COOK,2009,400000.00 
POINT LONSDALE,2009,555000.00 
POOWONG,2009,186500.00 
POREPUNKAH,2009,257500.00 
PORT ALBERT,2009,173500.00 
PORT FAIRY,2009,331500.00 
PORT FRANKLIN,2009,215000.00 
PORT MELBOURNE,2009,845000.00 
PORT WELSHPOOL,2009,186000.00 
PORTARLINGTON,2009,347500.00 
PORTLAND,2009,195000.00 
PORTLAND NORTH,2009,225000.00 
PORTSEA,2009,1100000.00 
PRAHRAN,2009,879000.00 
PRESTON,2009,518000.00 
PRINCES HILL,2009,871000.00 
PYRAMID HILL,2009,101000.00 
QUARRY HILL,2009,251500.00 
QUEENSCLIFF,2009,579500.00 
RAINBOW,2009,69000.00 
RAWSON,2009,156500.00 
RAYMOND ISLAND,2009,242000.00 
RED CLIFFS,2009,145000.00 
REDAN,2009,197000.00 
RESEARCH,2009,536500.00 
RESERVOIR,2009,430000.00 
RHYLL,2009,400000.00 
RICHMOND,2009,726000.00 
RIDDELLS CREEK,2009,310000.00 
RINGWOOD,2009,455500.00 
