,locality,Year,house price
503,MOUNT PLEASANT,2009,211000
504,MOUNT WAVERLEY,2009,691500
505,MULGRAVE,2009,478500
506,MURCHISON,2009,166500
507,MURRUMBEENA,2009,755500
508,MURTOA,2009,92500
509,MYRTLEFORD,2009,190000
510,NAGAMBIE,2009,210500
511,NARRE WARREN,2009,321500
512,NARRE WARREN NORTH,2009,645000
513,NARRE WARREN SOUTH,2009,360500
514,NATHALIA,2009,165000
515,NATIMUK,2009,128500
516,NEERIM SOUTH,2009,262500
517,NELSON,2009,187000
518,NERRINA,2009,300000
519,NEW GISBORNE,2009,369000
520,NEWBOROUGH,2009,173000
521,NEWCOMB,2009,229000
522,NEWINGTON,2009,253500
523,NEWLANDS ARM,2009,280000
524,NEWPORT,2009,560000
525,NEWSTEAD,2009,197500
526,NEWTOWN (GREATER GEELONG),2009,421000
527,NHILL,2009,124000
528,NICHOLS POINT,2009,310000
529,NIDDRIE,2009,595000
530,NOBLE PARK,2009,350000
531,NOBLE PARK NORTH,2009,350000
532,NOOJEE,2009,201500
533,NORLANE,2009,160000
534,NORTH BENDIGO,2009,206000
535,NORTH GEELONG,2009,247000
536,NORTH MELBOURNE,2009,605000
537,NORTH WONTHAGGI,2009,265000
538,NORTHCOTE,2009,669000
539,NOTTING HILL,2009,485000
540,NUMURKAH,2009,171500
541,NUNAWADING,2009,511000
542,NYAH WEST,2009,89000
543,NYORA,2009,182500
544,OAK PARK,2009,505000
545,OAKLEIGH,2009,619000
546,OAKLEIGH EAST,2009,553500
547,OAKLEIGH SOUTH,2009,533500
548,OCEAN GROVE,2009,385000
549,OFFICER,2009,340000
550,OFFICER SOUTH,2009,-
551,OLINDA,2009,378500
552,ORBOST,2009,155000
553,ORMOND,2009,808000
554,OSBORNE,2009,425000
555,OUYEN,2009,110000
556,PAKENHAM,2009,305000
557,PARADISE BEACH,2009,170000
558,PARK ORCHARDS,2009,814000
559,PARKDALE,2009,625000
560,PARKVILLE,2009,1300000
561,PASCOE VALE,2009,508000
562,PASCOE VALE SOUTH,2009,551000
563,PATTERSON GARDENS,2009,523000
564,PATTERSON LAKES,2009,526000
565,PAYNESVILLE,2009,275000
566,PEARCEDALE,2009,328000
567,PENSHURST,2009,142500
568,PETERBOROUGH,2009,267500
569,PIONEER BAY,2009,184500
570,PLENTY,2009,715000
571,POINT COOK,2009,400000
572,POINT LONSDALE,2009,555000
573,POOWONG,2009,186500
574,POREPUNKAH,2009,257500
575,PORT ALBERT,2009,173500
576,PORT FAIRY,2009,331500
577,PORT FRANKLIN,2009,215000
578,PORT MELBOURNE,2009,845000
579,PORT WELSHPOOL,2009,186000
580,PORTARLINGTON,2009,347500
581,PORTLAND,2009,195000
582,PORTLAND NORTH,2009,225000
583,PORTSEA,2009,1100000
584,PRAHRAN,2009,879000
585,PRESTON,2009,518000
586,PRINCES HILL,2009,871000
587,PYRAMID HILL,2009,101000
588,QUARRY HILL,2009,251500
589,QUEENSCLIFF,2009,579500
590,RAINBOW,2009,69000
591,RAWSON,2009,156500
592,RAYMOND ISLAND,2009,242000
593,RED CLIFFS,2009,145000
594,REDAN,2009,197000
595,RESEARCH,2009,536500
596,RESERVOIR,2009,430000
597,RHYLL,2009,400000
598,RICHMOND,2009,726000
599,RIDDELLS CREEK,2009,310000
600,RINGWOOD,2009,455500
601,RINGWOOD EAST,2009,442000
602,RINGWOOD NORTH,2009,488500
603,RIPPLESIDE,2009,372500
604,ROBINVALE,2009,185000
605,ROCHESTER,2009,175000
606,ROCKBANK,2009,215000
607,ROMSEY,2009,302500
608,ROSANNA,2009,586000
609,ROSEBUD,2009,308000
610,ROSEBUD SOUTH,2009,347500
611,ROSEDALE,2009,165000
612,ROWVILLE,2009,467500
613,ROXBURGH PARK,2009,340000
614,RUSHWORTH,2009,150000
615,RUTHERGLEN,2009,176000
616,RYE,2009,380000
617,SAFETY BEACH,2009,409000
618,SAILORS GULLY,2009,192500
619,SALE,2009,250000
620,SAN REMO,2009,362000
621,SANCTUARY LAKES,2009,455500
622,SANDHURST,2009,353500
623,SANDRINGHAM,2009,1032500
624,SANDY POINT,2009,300000
625,SASSAFRAS,2009,427500
626,SCORESBY,2009,396000
627,SEA LAKE,2009,65000
628,SEABROOK,2009,350000
629,SEAFORD,2009,355000
630,SEAHOLME,2009,663000
631,SEASPRAY,2009,145000
632,SEBASTOPOL,2009,212000
633,SEDDON,2009,515000
634,SELBY,2009,385000
635,SEVILLE,2009,335500
636,SEVILLE EAST,2009,317500
637,SEYMOUR,2009,184000
638,SHEPPARTON,2009,228500
639,SHEPPARTON NORTH,2009,-
640,SHOREHAM,2009,692500
641,SILVERLEAVES,2009,390000
642,SKENES CREEK,2009,450000
643,SKIPTON,2009,110000
644,SKYE,2009,330000
645,SMITHS BEACH,2009,325000
646,SMYTHESDALE,2009,127500
647,SOLDIERS HILL,2009,227500
648,SOMERS,2009,495000
649,SOMERVILLE,2009,326000
650,SORRENTO,2009,680000
651,SOUTH DUDLEY,2009,210500
652,SOUTH GEELONG,2009,384500
653,SOUTH KINGSVILLE,2009,509000
654,SOUTH MELBOURNE,2009,918500
655,SOUTH MORANG,2009,365000
656,SOUTH YARRA,2009,1293000
657,SPOTSWOOD,2009,507000
658,SPRING GULLY,2009,296000
659,SPRINGVALE,2009,408000
660,SPRINGVALE SOUTH,2009,374000
661,ST ALBANS,2009,310000
662,ST ALBANS PARK,2009,268500
663,ST ANDREWS BEACH,2009,522500
664,ST ARNAUD,2009,125000
665,ST HELENA,2009,490500
666,ST KILDA,2009,825000
667,ST KILDA EAST,2009,861000
668,ST KILDA WEST,2009,1360000
669,ST LEONARDS,2009,285000
670,STANHOPE,2009,133000
671,STAWELL,2009,145000
672,STRATFORD,2009,230000
673,STRATHDALE,2009,297500
674,STRATHFIELDSAYE,2009,305000
675,STRATHMERTON,2009,150000
676,STRATHMORE,2009,750000
677,STRATHMORE HEIGHTS,2009,466500
678,STRATHTULLOH,2009,-
679,STUDFIELD,2009,430000
680,SUNBURY,2009,297000
681,SUNDERLAND BAY,2009,257000
682,SUNNYCLIFFS,2009,202500
683,SUNSET STRIP,2009,250000
684,SUNSHINE,2009,390000
685,SUNSHINE NORTH,2009,360000
686,SUNSHINE WEST,2009,344500
687,SURF BEACH,2009,289000
688,SURREY HILLS,2009,1012000
689,SWAN HILL,2009,235500
690,SYDENHAM,2009,370000
691,SYNDAL,2009,760000
692,TALLANGATTA,2009,181000
693,TARNEIT,2009,325000
694,TATURA,2009,194500
695,TAWONGA,2009,235000
696,TAWONGA SOUTH,2009,245000
697,TAYLORS HILL,2009,375500
698,TAYLORS LAKES,2009,420000
699,TECOMA,2009,375000
700,TEMPLESTOWE,2009,727500
701,TEMPLESTOWE LOWER,2009,630000
702,TERANG,2009,153500
703,THE BASIN,2009,370000
704,THE HONEYSUCKLES,2009,154000
705,THE PATCH,2009,390000
706,THOMASTOWN,2009,354500
707,THOMSON (GREATER GEELONG),2009,215000
708,THORNBURY,2009,602500
709,THORNHILL PARK,2009,-
710,TIMBOON,2009,202500
711,TONGALA,2009,158500
712,TOONGABBIE,2009,221000
713,TOORA,2009,155000
714,TOORADIN,2009,317000
715,TOORAK,2009,2710000
716,TOOTGAROOK,2009,315000
717,TORQUAY,2009,475000
718,TRAFALGAR,2009,216000
719,TRARALGON,2009,230000
720,TRARALGON EAST,2009,380000
721,TRAVANCORE,2009,640000
722,TRENTHAM,2009,237500
723,TRUGANINA,2009,325000
724,TULLAMARINE,2009,380000
725,TYABB,2009,292500
726,TYLDEN,2009,215000
727,UPPER FERNTREE GULLY,2009,350000
728,UPWEY,2009,380500
729,VENTNOR,2009,383500
730,VENUS BAY,2009,238000
731,VERMONT,2009,520000
732,VERMONT SOUTH,2009,590000
733,VIEWBANK,2009,524500
734,VIOLET TOWN,2009,180000
735,WAHGUNYAH,2009,190000
736,WALKERVILLE,2009,176000
737,WALLAN,2009,288000
738,WALLAN EAST,2009,230000
739,WANDANA HEIGHTS,2009,460000
740,WANDIN NORTH,2009,335000
741,WANGARATTA,2009,228500
742,WANTIRNA,2009,455000
743,WANTIRNA SOUTH,2009,535000
744,WARBURTON,2009,259000
745,WARNEET,2009,275000
746,WARRACKNABEAL,2009,90000
747,WARRAGUL,2009,247000
748,WARRANDYTE,2009,575000
749,WARRANWOOD,2009,553000
750,WARRNAMBOOL,2009,295000
