locality,Year,house_price
SOUTH GEELONG,2019,702500
SOUTH KINGSVILLE,2019,859000
SOUTH MELBOURNE,2019,1355000
SOUTH MORANG,2019,625500
SOUTH YARRA,2019,1767500
SPOTSWOOD,2019,960000
SPRING GULLY,2019,386500
SPRINGVALE,2019,743000
SPRINGVALE SOUTH,2019,678000
ST ALBANS,2019,590000
ST ALBANS PARK,2019,422000
ST ANDREWS BEACH,2019,930000
ST ARNAUD,2019,175000
ST HELENA,2019,905000
ST KILDA,2019,1600000
ST KILDA EAST,2019,1560000
ST KILDA WEST,2019,2078500
ST LEONARDS,2019,562500
STANHOPE,2019,174000
STAWELL,2019,189000
STRATFORD,2019,316500
STRATHDALE,2019,453500
STRATHFIELDSAYE,2019,476500
STRATHMERTON,2019,195000
STRATHMORE,2019,1310000
STRATHMORE HEIGHTS,2019,800000
STRATHTULLOH,2019,515000
STUDFIELD,2019,811000
SUNBURY,2019,535000
SUNDERLAND BAY,2019,412000
SUNNYCLIFFS,2019,239000
SUNSET STRIP,2019,460000
SUNSHINE,2019,720000
SUNSHINE NORTH,2019,630000
SUNSHINE WEST,2019,635000
SURF BEACH,2019,510000
SURREY HILLS,2019,1886500
SWAN HILL,2019,285000
SYDENHAM,2019,599500
SYNDAL,2019,1524500
TALLANGATTA,2019,251500
TARNEIT,2019,555000
TATURA,2019,276500
TAWONGA,2019,460000
TAWONGA SOUTH,2019,400000
TAYLORS HILL,2019,702500
TAYLORS LAKES,2019,748500
TECOMA,2019,662500
TEMPLESTOWE,2019,1276500
TEMPLESTOWE LOWER,2019,1080000
TERANG,2019,190000
THE BASIN,2019,695000
THE HONEYSUCKLES,2019,336000
THE PATCH,2019,755000
THOMASTOWN,2019,592000
THOMSON (GREATER GEELONG),2019,400500
THORNBURY,2019,1135000
THORNHILL PARK,2019,535000
TIMBOON,2019,260000
TONGALA,2019,234500
TOONGABBIE,2019,270000
TOORA,2019,275000
TOORADIN,2019,700000
TOORAK,2019,4361000
TOOTGAROOK,2019,580000
TORQUAY,2019,820000
TRAFALGAR,2019,397500
TRARALGON,2019,325000
TRARALGON EAST,2019,470000
TRAVANCORE,2019,1125000
TRENTHAM,2019,614000
TRUGANINA,2019,575000
TULLAMARINE,2019,612000
TYABB,2019,580500
TYLDEN,2019,492500
UPPER FERNTREE GULLY,2019,642500
UPWEY,2019,702500
VENTNOR,2019,535000
VENUS BAY,2019,330000
VERMONT,2019,937000
VERMONT SOUTH,2019,1166500
VIEWBANK,2019,920000
VIOLET TOWN,2019,287500
WAHGUNYAH,2019,355000
WALKERVILLE,2019,334500
WALLAN,2019,477500
WALLAN EAST,2019,450000
WANDANA HEIGHTS,2019,766500
WANDIN NORTH,2019,627500
WANGARATTA,2019,319000
WANTIRNA,2019,860000
WANTIRNA SOUTH,2019,988500
WARBURTON,2019,515000
WARNEET,2019,512500
WARRACKNABEAL,2019,118000
WARRAGUL,2019,460000
WARRANDYTE,2019,987500
WARRANWOOD,2019,935000
WARRNAMBOOL,2019,370000
WATERWAYS,2019,1270000
WATSONIA,2019,736000
WATSONIA NORTH,2019,726500
WATTLE GLEN,2019,778500
WAURN PONDS,2019,641500
WEDDERBURN,2019,138500
WEIR VIEWS,2019,462500
WENDOUREE,2019,335000
WENDOUREE WEST,2019,257500
WERRIBEE,2019,510000
WERRIBEE SOUTH,2019,744500
WESBURN,2019,530000
WEST FOOTSCRAY,2019,787500
WEST MELBOURNE,2019,1085000
WEST WODONGA,2019,342500
WESTALL,2019,730000
WESTGARTH,2019,1505000
WESTMEADOWS,2019,620000
WHEELERS HILL,2019,1009000
WHITE HILLS,2019,330000
WHITTINGTON,2019,377500
WHITTLESEA,2019,577500
WILLAURA,2019,110000
WILLIAMS LANDING,2019,660000
WILLIAMSTOWN,2019,1350000
WILLIAMSTOWN NORTH,2019,915000
WIMBLEDON HEIGHTS,2019,386500
WINCHELSEA,2019,430000
WINDSOR,2019,1350000
WINTER VALLEY,2019,435000
WODONGA,2019,330500
WOLLERT,2019,577500
WONGA PARK,2019,1111000
WONTHAGGI,2019,375000
WOODEND,2019,747500
WOOLAMAI WATERS,2019,495500
WOORI YALLOCK,2019,510000
WY YUNG,2019,349000
WYCHEPROOF,2019,141500
WYE RIVER,2019,1300000
WYNDHAM VALE,2019,465000
YACKANDANDAH,2019,497500
YALLAMBIE,2019,792500
YALLOURN NORTH,2019,191000
YARRA GLEN,2019,670000
YARRA JUNCTION,2019,582500
YARRAGON,2019,410000
YARRAM,2019,240000
YARRAVILLE,2019,971000
YARRAWONGA,2019,375000
